guid,title,pubDate,description,link,media
b'https://timesofindia.indiatimes.com/city/bengaluru/5-year-old-girl-becomes-first-confirmed-zika-virus-patient-in-karnataka/articleshow/96177907.cms',"b""5-yr-old becomes first Zika virus case in K'taka""",b'2022-12-12T20:04:38+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96177907.cms"" />'",b'https://timesofindia.indiatimes.com/city/bengaluru/5-year-old-girl-becomes-first-confirmed-zika-virus-patient-in-karnataka/articleshow/96177907.cms',
b'https://timesofindia.indiatimes.com/city/hubballi/twin-cities-face-water-woes-lt-blamed/articleshow/96159445.cms',"b'Twin cities face water woes, L&T blamed in Hubballi'",b'2022-12-12T07:22:18+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159445.cms"" />People in 45 wards of Hubballi-Dharwad are facing acute water supply problems for the past few days, a problem that political leaders have attributed to L&T taking over responsibility of the supply system from HDMC.'",b'https://timesofindia.indiatimes.com/city/hubballi/twin-cities-face-water-woes-lt-blamed/articleshow/96159445.cms',
b'https://timesofindia.indiatimes.com/city/mysuru/5-held-for-possessing-elephant-tusks/articleshow/96159458.cms',b'5 held for possessing elephant tusks in Karnataka',b'2022-12-12T07:23:45+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159458.cms"" />Five persons from Tamil Nadu were arrested on charges of possessing and dealing elephant tusks on Saturday. '",b'https://timesofindia.indiatimes.com/city/mysuru/5-held-for-possessing-elephant-tusks/articleshow/96159458.cms',
b'https://timesofindia.indiatimes.com/city/mysuru/integrated-system-to-streamline-traffic-in-hassan/articleshow/96159456.cms',b'Integrated system to streamline traffic in Hassan',b'2022-12-12T07:23:38+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159456.cms"" />Eager to render commute in the Malnad district a hassle-free experience, traffic police in Hassan have decided to put in place an integrated system that will streamline vehicular movement. '",b'https://timesofindia.indiatimes.com/city/mysuru/integrated-system-to-streamline-traffic-in-hassan/articleshow/96159456.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/2-cops-who-extorted-couple-walking-home-suspended-in-bengaluru/articleshow/96158097.cms',"b'2 Bengaluru cops harass couple, suspended'",b'2022-12-12T04:47:05+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96158097.cms"" />A head constable and a police constable who allegedly extorted Rs 1,000 from a techie-couple after harassing them near Manyata Tech Park in the wee hours of December 8 have been suspended. '",b'https://timesofindia.indiatimes.com/city/bengaluru/2-cops-who-extorted-couple-walking-home-suspended-in-bengaluru/articleshow/96158097.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/dalits-got-416-acres-for-businesses-since-2010-2011-in-karnataka/articleshow/96159608.cms',"b""Dalits got 416 acres for biz in K'taka since 2010-11""",b'2022-12-12T07:39:36+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96159608.cms"" />More than 570 Dalit entrepreneurs in Karnataka since 2010-11 have benefited from a government scheme that encourages them to start businesses or industries.\xe2\x80\x8b'",b'https://timesofindia.indiatimes.com/city/bengaluru/dalits-got-416-acres-for-businesses-since-2010-2011-in-karnataka/articleshow/96159608.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/karnataka-takes-to-radio-to-teach-moral-education-yoga/articleshow/96157965.cms',"b""K'taka takes to radio to teach moral education, yoga""",b'2022-12-12T04:42:23+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96157965.cms"" />Students from classes 1-9 will have 25-minute radio based classes on moral education, skill education, yoga and health education for four days a week, beginning from Monday.'",b'https://timesofindia.indiatimes.com/city/bengaluru/karnataka-takes-to-radio-to-teach-moral-education-yoga/articleshow/96157965.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/can-seek-maintenance-under-different-laws-karnataka-hc/articleshow/96157962.cms',b'Can seek maintenance under different laws: HC',b'2022-12-12T04:42:15+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96157962.cms"" />There is no bar on an aggrieved woman seeking maintenance under the Protection of Women from Domestic Violence Act as well as under Section 125 of the Criminal Procedure Code or under the Hindu Marriage Act or even under the Hindu Adoptions and Maintenance Act, 1956, the Karnataka HC has observed in a recent judgement.'",b'https://timesofindia.indiatimes.com/city/bengaluru/can-seek-maintenance-under-different-laws-karnataka-hc/articleshow/96157962.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/strong-undercurrent-in-favour-of-jds-ahead-of-karnataka-polls-h-d-kumaraswamy/articleshow/96153832.cms',"b""'Strong undercurrent in favour of JD(S) in K'taka'""",b'2022-12-11T20:55:16+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96153832.cms"" />'",b'https://timesofindia.indiatimes.com/city/bengaluru/strong-undercurrent-in-favour-of-jds-ahead-of-karnataka-polls-h-d-kumaraswamy/articleshow/96153832.cms',
b'https://timesofindia.indiatimes.com/city/bengaluru/ahead-of-karnataka-polls-kharge-calls-meeting-of-state-congress-leaders-in-delhi-tomorrow/articleshow/96152050.cms',"b""K'taka polls: Cong calls meeting of state leaders""",b'2022-12-11T18:37:06+05:30',"b'<img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""https://timesofindia.indiatimes.com/photo/96152050.cms"" />\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8b\xe2\x80\x8bAccording to a party functionary, 14 leaders from the state, including Karnataka Congress President D K Shivakumar, and state Legislature Party leader Siddaramaiah, among others will be attending the meeting at the AICC office in the national capital.'",b'https://timesofindia.indiatimes.com/city/bengaluru/ahead-of-karnataka-polls-kharge-calls-meeting-of-state-congress-leaders-in-delhi-tomorrow/articleshow/96152050.cms',
